,BusinessName,DateOfInspection,FullAddress,HealthFacilityIDNumber,InspectionIDNumber,InspectionScore,InspectionType,Latitude,Longitude
4216,UPTOWN DINER,06/08/2017,2548 HENNEPIN AVE,LIC46110,50323,94,Routine,44.95583,-93.2972
4222,UPTOWN DINER,06/18/2018,2548 HENNEPIN AVE,LIC46110,201872,100,Routine,44.95583,-93.2972
4226,UPTOWN DINER,08/10/2017,2548 HENNEPIN AVE,LIC46110,201873,100,Follow-Up,44.95583,-93.2972
4229,UPTOWN DINER,06/26/2019,2548 HENNEPIN AVE,LIC46110,252918,94,Routine,44.95583,-93.2972
4238,COSTA BLANCA BISTRO,10/02/2017,2416 CENTRAL AVE NE,LIC43632,45565,92,Routine,45.01276,-93.24788
4242,COSTA BLANCA BISTRO,01/12/2017,2416 CENTRAL AVE NE,LIC43632,124917,96,Follow-Up,45.01276,-93.24788
4244,COSTA BLANCA BISTRO,10/02/2018,2416 CENTRAL AVE NE,LIC43632,228252,98,Routine,45.01276,-93.24788
4249,COSTA BLANCA BISTRO,10/31/2017,2416 CENTRAL AVE NE,LIC43632,230957,98,Follow-Up,45.01276,-93.24788
4251,COSTA BLANCA BISTRO,12/15/2017,2416 CENTRAL AVE NE,LIC43632,231733,98,Follow-Up,45.01276,-93.24788
4252,COSTA BLANCA BISTRO,01/22/2018,2416 CENTRAL AVE NE,LIC43632,236887,98,Follow-Up,45.01276,-93.24788
4253,COSTA BLANCA BISTRO,02/21/2018,2416 CENTRAL AVE NE,LIC43632,242006,98,Follow-Up,45.01276,-93.24788
4254,COSTA BLANCA BISTRO,03/23/2018,2416 CENTRAL AVE NE,LIC43632,245171,100,Follow-Up,45.01276,-93.24788
4255,COSTA BLANCA BISTRO,10/02/2019,2416 CENTRAL AVE NE,LIC43632,277393,84,Routine,45.01276,-93.24788
4262,COSTA BLANCA BISTRO,11/15/2019,2416 CENTRAL AVE NE,LIC43632,332690,100,Follow-Up,45.01276,-93.24788
4264,WILDE CAFE & SPIRITS,06/14/2018,65 MAIN ST SE,LIC363980,246649,90,Routine,44.98613,-93.25797
4274,WILDE CAFE & SPIRITS,06/18/2019,65 MAIN ST SE,LIC363980,254015,96,Routine,44.98613,-93.25797
4282,WILDE CAFE & SPIRITS,07/25/2018,65 MAIN ST SE,LIC363980,254016,96,Follow-Up,44.98613,-93.25797
4288,AMAZING THAILAND,10/13/2017,3024 HENNEPIN AVE,LIC50569,59348,82,Routine,44.94744,-93.29867
4312,AMAZING THAILAND,10/19/2018,3024 HENNEPIN AVE,LIC50569,229840,88,Routine,44.94744,-93.29867
4328,AMAZING THAILAND,12/19/2017,3024 HENNEPIN AVE,LIC50569,229841,90,Follow-Up,44.94744,-93.29867
4334,AMAZING THAILAND,02/12/2018,3024 HENNEPIN AVE,LIC50569,236553,90,Follow-Up,44.94744,-93.29867
4338,AMAZING THAILAND,03/21/2018,3024 HENNEPIN AVE,LIC50569,242956,100,Follow-Up,44.94744,-93.29867
4339,AMAZING THAILAND,10/31/2019,3024 HENNEPIN AVE,LIC50569,276982,96,Routine,44.94744,-93.29867
4346,AMAZING THAILAND,11/30/2018,3024 HENNEPIN AVE,LIC50569,276983,100,Follow-Up,44.94744,-93.29867
4347,BARRIO,06/19/2017,925 NICOLLET MALL,LIC35277,30763,80,Routine,44.9742,-93.27408
4363,BARRIO,06/22/2018,925 NICOLLET MALL,LIC35277,202114,90,Routine,44.9742,-93.27408
4369,BARRIO,07/14/2017,925 NICOLLET MALL,LIC35277,202115,96,Follow-Up,44.9742,-93.27408
4372,BARRIO,06/25/2019,925 NICOLLET MALL,LIC35277,253976,82,Routine,44.9742,-93.27408
4379,BARRIO,07/25/2018,925 NICOLLET MALL,LIC35277,253977,96,Follow-Up,44.9742,-93.27408
4381,BARRIO,07/22/2019,925 NICOLLET MALL,LIC35277,314336,86,Follow-Up,44.9742,-93.27408
4387,PIZZA LUCE,05/15/2017,2200 FRANKLIN AVE E,LIC33982,29056,82,Routine,44.96299,-93.24045
4402,PIZZA LUCE,05/25/2018,2200 FRANKLIN AVE E,LIC33982,198276,100,Routine,44.96299,-93.24045
4404,PIZZA LUCE,06/20/2017,2200 FRANKLIN AVE E,LIC33982,198277,90,Follow-Up,44.96299,-93.24045
4410,PIZZA LUCE,07/17/2017,2200 FRANKLIN AVE E,LIC33982,201882,100,Follow-Up,44.96299,-93.24045
4411,PIZZA LUCE,05/22/2019,2200 FRANKLIN AVE E,LIC33982,251487,98,Routine,44.96299,-93.24045
4418,BUSTERS ON 28TH,07/26/2017,4204 28TH AVE S,LIC50787,59723,62,Routine,44.92668,-93.23249
4441,BUSTERS ON 28TH,08/23/2018,4204 28TH AVE S,LIC50787,210175,76,Routine,44.92668,-93.23249
4456,BUSTERS ON 28TH,09/25/2017,4204 28TH AVE S,LIC50787,210176,84,Follow-Up,44.92668,-93.23249
4464,BUSTERS ON 28TH,11/27/2017,4204 28TH AVE S,LIC50787,226811,98,Follow-Up,44.92668,-93.23249
4467,BUSTERS ON 28TH,09/10/2019,4204 28TH AVE S,LIC50787,267111,94,Routine,44.92668,-93.23249
4472,BUSTERS ON 28TH,10/17/2018,4204 28TH AVE S,LIC50787,267112,98,Follow-Up,44.92668,-93.23249
4476,FIKA,08/22/2017,2600 PARK AVE,LIC40308,39395,100,Routine,44.95521,-93.26581
4479,FIKA,07/31/2018,2600 PARK AVE,LIC40308,220611,94,Routine,44.95521,-93.26581
4486,FIKA,07/30/2019,2600 PARK AVE,LIC40308,260336,96,Routine,44.95521,-93.26581
4492,COURTYARD MINNEAPOLIS DOWNTOWN,01/31/2017,1500 WASHINGTON AVE S,LIC43687,45627,96,Routine,44.97385,-93.24784
4499,COURTYARD MINNEAPOLIS DOWNTOWN,02/06/2018,1500 WASHINGTON AVE S,LIC43687,189648,100,Routine,44.97385,-93.24784
4502,COURTYARD MINNEAPOLIS DOWNTOWN,02/11/2019,1500 WASHINGTON AVE S,LIC43687,242845,100,Routine,44.97385,-93.24784
4503,COURTYARD MINNEAPOLIS DOWNTOWN,12/21/2017,1500 WASHINGTON AVE S,LIC43688,45631,100,Routine,44.97385,-93.24784
4504,COURTYARD MINNEAPOLIS DOWNTOWN,12/20/2019,1500 WASHINGTON AVE S,LIC43688,236894,100,Routine,44.97385,-93.24784
4505,NORTHEAST CENTER,10/02/2017,342 13TH AVE NE,LIC49064,55691,100,Routine,45.00058,-93.26222
4506,NORTHEAST CENTER,10/02/2018,342 13TH AVE NE,LIC49064,228253,100,Routine,45.00058,-93.26222
4507,NORTHEAST CENTER,03/18/2019,342 13TH AVE NE,LIC49064,277027,98,Routine,45.00058,-93.26222
4508,NORTHEAST CENTER,10/03/2019,342 13TH AVE NE,LIC49064,304308,100,Routine,45.00058,-93.26222
4509,MERCURY DINING ROOM & SHINDIG EVENT CTR,06/12/2018,505 MARQUETTE AVE,LIC25607,251079,66,Routine,44.97787,-93.26902
4534,MERCURY DINING ROOM & SHINDIG EVENT CTR,06/18/2019,505 MARQUETTE AVE,LIC25607,252712,86,Routine,44.97787,-93.26902
4555,MERCURY DINING ROOM & SHINDIG EVENT CTR,07/24/2018,505 MARQUETTE AVE,LIC25607,252713,100,Follow-Up,44.97787,-93.26902
4557,MERCURY DINING ROOM & SHINDIG EVENT CTR,07/18/2019,505 MARQUETTE AVE,LIC25607,314372,98,Follow-Up,44.97787,-93.26902
4561,SPITZ,07/31/2017,518 HENNEPIN AVE E,LIC37776,36203,96,Routine,44.98917,-93.25233
4566,SPITZ,08/03/2018,518 HENNEPIN AVE E,LIC37776,214080,90,Routine,44.98917,-93.25233
4577,SPITZ,07/30/2019,518 HENNEPIN AVE E,LIC37776,263878,90,Routine,44.98917,-93.25233
4586,SPITZ,09/07/2018,518 HENNEPIN AVE E,LIC37776,263879,100,Follow-Up,44.98917,-93.25233
4589,SPITZ,09/03/2019,518 HENNEPIN AVE E,LIC37776,319552,100,Follow-Up,44.98917,-93.25233
4591,JASMINE 26 RESTAURANT & BAR,06/22/2017,8 26TH ST E #C102,LIC44644,47553,98,Routine,44.95573,-93.27723
4599,JASMINE 26 RESTAURANT & BAR,06/19/2018,8 26TH ST E #C102,LIC44644,202361,100,Routine,44.95573,-93.27723
4604,JASMINE 26 RESTAURANT & BAR,06/19/2019,8 26TH ST E #C102,LIC44644,253058,98,Routine,44.95573,-93.27723
4608,JASMINE DELI,06/14/2017,2532 NICOLLET AVE,LIC44646,47582,96,Routine,44.9562,-93.27839
4612,JASMINE DELI,06/12/2018,2532 NICOLLET AVE,LIC44646,201607,100,Routine,44.9562,-93.27839
4617,JASMINE DELI,06/12/2019,2532 NICOLLET AVE,LIC44646,252456,94,Routine,44.9562,-93.27839
4624,CAFE ENA,11/08/2017,4601 GRAND AVE S,LIC50943,60047,72,Routine,44.91943,-93.28408
4645,CAFE ENA,01/17/2017,4601 GRAND AVE S,LIC50943,124460,96,Follow-Up,44.91943,-93.28408
4650,CAFE ENA,11/15/2018,4601 GRAND AVE S,LIC50943,233964,82,Routine,44.91943,-93.28408
4670,CAFE ENA,01/09/2018,4601 GRAND AVE S,LIC50943,233965,92,Follow-Up,44.91943,-93.28408
4679,CAFE ENA,03/21/2018,4601 GRAND AVE S,LIC50943,237538,92,Follow-Up,44.91943,-93.28408
4686,CAFE ENA,07/12/2018,4601 GRAND AVE S,LIC50943,246618,96,Follow-Up,44.91943,-93.28408
4689,CAFE ENA,11/26/2019,4601 GRAND AVE S,LIC50943,280687,80,Routine,44.91943,-93.28408
4706,CAFE ENA,12/26/2018,4601 GRAND AVE S,LIC50943,280688,96,Follow-Up,44.91943,-93.28408
4713,BREAKING BREAD FOODS / KINDRED KITCHEN,06/27/2017,1200 WEST BROADWAY,LIC43592,45495,82,Routine,44.9994,-93.29608
4722,BREAKING BREAD FOODS / KINDRED KITCHEN,07/11/2018,1200 WEST BROADWAY,LIC43592,203775,90,Routine,44.9994,-93.29608
4730,BREAKING BREAD FOODS / KINDRED KITCHEN,08/10/2017,1200 WEST BROADWAY,LIC43592,203776,100,Follow-Up,44.9994,-93.29608
4731,BREAKING BREAD FOODS / KINDRED KITCHEN,07/10/2019,1200 WEST BROADWAY,LIC43592,256261,70,Routine,44.9994,-93.29608
4747,BREAKING BREAD FOODS / KINDRED KITCHEN,09/17/2018,1200 WEST BROADWAY,LIC43592,256262,100,Follow-Up,44.9994,-93.29608
4749,GANDHI MAHAL,06/13/2017,3009 27TH AVE S,LIC48257,54184,90,Routine,44.94792,-93.23272
4767,GANDHI MAHAL,06/19/2018,3009 27TH AVE S,LIC48257,201813,62,Routine,44.94792,-93.23272
4788,GANDHI MAHAL,08/08/2017,3009 27TH AVE S,LIC48257,201814,98,Follow-Up,44.94792,-93.23272
4796,GANDHI MAHAL,10/04/2017,3009 27TH AVE S,LIC48257,214030,98,Follow-Up,44.94792,-93.23272
4800,GANDHI MAHAL,07/10/2019,3009 27TH AVE S,LIC48257,253222,84,Routine,44.94792,-93.23272
4813,GANDHI MAHAL,08/13/2018,3009 27TH AVE S,LIC48257,253223,94,Follow-Up,44.94792,-93.23272
4819,GANDHI MAHAL,09/05/2019,3009 27TH AVE S,LIC48257,315205,96,Follow-Up,44.94792,-93.23272
4822,DARBAR INDIA GRILL,08/29/2017,1221 LAKE ST W #105,LIC47998,53745,84,Routine,44.94814,-93.2951
4847,DARBAR INDIA GRILL,09/13/2018,1221 LAKE ST W #105,LIC47998,224384,66,Routine,44.94814,-93.2951
4880,DARBAR INDIA GRILL,10/23/2017,1221 LAKE ST W #105,LIC47998,224385,92,Follow-Up,44.94814,-93.2951
4884,DARBAR INDIA GRILL,01/08/2018,1221 LAKE ST W #105,LIC47998,230772,96,Follow-Up,44.94814,-93.2951
4889,DARBAR INDIA GRILL,02/13/2018,1221 LAKE ST W #105,LIC47998,237380,98,Follow-Up,44.94814,-93.2951
4893,DARBAR INDIA GRILL,09/13/2019,1221 LAKE ST W #105,LIC47998,272209,92,Routine,44.94814,-93.2951
4903,DARBAR INDIA GRILL,10/31/2018,1221 LAKE ST W #105,LIC47998,272210,72,Follow-Up,44.94814,-93.2951
4922,DARBAR INDIA GRILL,12/12/2018,1221 LAKE ST W #105,LIC47998,278488,94,Follow-Up,44.94814,-93.2951
4926,SEED CAFE,11/27/2018,3252 LAKE ST W #B,LIC366387,270994,84,Routine,44.94913,-93.32083
4942,SEED CAFE,11/27/2019,3252 LAKE ST W #B,LIC366387,281137,98,Routine,44.94913,-93.32083
4947,SEED CAFE,02/05/2019,3252 LAKE ST W #B,LIC366387,281138,96,Follow-Up,44.94913,-93.32083
4951,PHO TAU BAY RESTAURANT,11/06/2017,2837 NICOLLET AVE,LIC33793,124528,94,Routine,44.95073,-93.27751
4962,PHO TAU BAY RESTAURANT,05/01/2017,2837 NICOLLET AVE,LIC33793,124529,70,Follow-Up,44.95073,-93.27751
4985,PHO TAU BAY RESTAURANT,06/22/2017,2837 NICOLLET AVE,LIC33793,197796,98,Follow-Up,44.95073,-93.27751
4991,PHO TAU BAY RESTAURANT,11/20/2018,2837 NICOLLET AVE,LIC33793,232597,94,Routine,44.95073,-93.27751
4997,PHO TAU BAY RESTAURANT,01/18/2018,2837 NICOLLET AVE,LIC33793,232598,96,Follow-Up,44.95073,-93.27751
5003,PHO TAU BAY RESTAURANT,05/21/2019,2837 NICOLLET AVE,LIC33793,280132,92,Routine,44.95073,-93.27751
5014,LONGFELLOW GRILL,01/24/2017,2990 WEST RIVER PKWY,LIC40774,40350,92,Routine,44.94864,-93.20658
5033,LONGFELLOW GRILL,02/14/2018,2990 WEST RIVER PKWY,LIC40774,189149,92,Routine,44.94864,-93.20658
5046,LONGFELLOW GRILL,03/29/2017,2990 WEST RIVER PKWY,LIC40774,190595,96,Follow-Up,44.94864,-93.20658
5050,LONGFELLOW GRILL,03/05/2019,2990 WEST RIVER PKWY,LIC40774,243022,84,Routine,44.94864,-93.20658
5066,LONGFELLOW GRILL,04/06/2018,2990 WEST RIVER PKWY,LIC40774,243023,96,Follow-Up,44.94864,-93.20658
5071,LONGFELLOW GRILL,05/22/2019,2990 WEST RIVER PKWY,LIC40774,303279,94,Follow-Up,44.94864,-93.20658
5078,KADO NO MISE/KAISEKI FURUKAWA,11/26/2018,30 1ST ST N,LIC51976,279165,74,Routine,44.98471,-93.26741
5092,KADO NO MISE/KAISEKI FURUKAWA,12/05/2019,30 1ST ST N,LIC51976,280354,94,Routine,44.98471,-93.26741
5101,KADO NO MISE/KAISEKI FURUKAWA,02/13/2019,30 1ST ST N,LIC51976,280355,96,Follow-Up,44.98471,-93.26741
5106,KIMCHI TOFU HOUSE,10/26/2018,307 OAK ST SE,LIC365332,247165,96,Routine,44.97329,-93.22678
5115,KIMCHI TOFU HOUSE,10/29/2019,307 OAK ST SE,LIC365332,277438,88,Routine,44.97329,-93.22678
5129,KIMCHI TOFU HOUSE,12/05/2018,307 OAK ST SE,LIC365332,277439,100,Follow-Up,44.97329,-93.22678
5134,KIMCHI TOFU HOUSE,12/03/2019,307 OAK ST SE,LIC365332,335787,100,Follow-Up,44.97329,-93.22678
5139,THE BLUE DOOR - LONGFELLOW,06/27/2018,3448 42ND AVE S,LIC30667,23733,88,Routine,44.9398,-93.21313
5152,THE BLUE DOOR - LONGFELLOW,07/22/2019,3448 42ND AVE S,LIC30667,253607,90,Routine,44.9398,-93.21313
5162,THE BLUE DOOR - LONGFELLOW,08/23/2018,3448 42ND AVE S,LIC30667,253608,100,Follow-Up,44.9398,-93.21313
5167,THE BLUE DOOR - LONGFELLOW,09/19/2019,3448 42ND AVE S,LIC30667,316494,94,Follow-Up,44.9398,-93.21313
5171,ASTER CAFE,02/23/2017,125 MAIN ST SE,LIC27875,18200,100,Routine,44.98467,-93.25494
5176,ASTER CAFE,02/27/2018,125 MAIN ST SE,LIC27875,191230,100,Routine,44.98467,-93.25494
5180,ASTER CAFE,03/04/2019,125 MAIN ST SE,LIC27875,243835,86,Routine,44.98467,-93.25494
5187,ASTER CAFE,04/10/2019,125 MAIN ST SE,LIC27875,303493,96,Follow-Up,44.98467,-93.25494
5191,ICHIDDO RAMEN,05/05/2017,2710 NICOLLET AVE,LIC29175,20841,92,Routine,44.95345,-93.27838
5207,ICHIDDO RAMEN,06/12/2017,2710 NICOLLET AVE,LIC29175,197871,92,Follow-Up,44.95345,-93.27838
5215,ICHIDDO RAMEN,05/07/2018,2710 NICOLLET AVE,LIC29175,203946,100,Routine,44.95345,-93.27838
5222,ICHIDDO RAMEN,05/10/2019,2710 NICOLLET AVE,LIC29175,242316,96,Routine,44.95345,-93.27838
5229,PUNCH NEAPOLITAN PIZZA,06/23/2017,802 WASHINGTON AVE SE,LIC37549,35623,100,Routine,44.97341,-93.2268
5234,PUNCH NEAPOLITAN PIZZA,06/25/2018,802 WASHINGTON AVE SE,LIC37549,202185,96,Routine,44.97341,-93.2268
5244,PUNCH NEAPOLITAN PIZZA,06/19/2019,802 WASHINGTON AVE SE,LIC37549,253342,100,Routine,44.97341,-93.2268
5246,PAGODA,02/27/2017,1417 4TH ST SE,LIC26017,14695,100,Routine,44.98044,-93.23469
5249,PAGODA,03/07/2018,1417 4TH ST SE,LIC26017,192205,96,Routine,44.98044,-93.23469
5254,PAGODA,03/08/2019,1417 4TH ST SE,LIC26017,245741,80,Routine,44.98044,-93.23469
5274,PAGODA,05/01/2019,1417 4TH ST SE,LIC26017,304479,94,Follow-Up,44.98044,-93.23469
5286,FAT LORENZO'S,01/05/2018,5600 CEDAR AVE S,LIC40223,181491,96,Routine,44.90079,-93.24792
5297,FAT LORENZO'S,01/10/2019,5600 CEDAR AVE S,LIC40223,237180,98,Routine,44.90079,-93.24792
5308,FAT LORENZO'S,03/02/2018,5600 CEDAR AVE S,LIC40223,237181,98,Follow-Up,44.90079,-93.24792
5314,FAT LORENZO'S,02/27/2019,5600 CEDAR AVE S,LIC40223,287822,98,Follow-Up,44.90079,-93.24792
5322,NAMASTE CAFE,12/13/2017,2512 HENNEPIN AVE,LIC41091,180567,88,Routine,44.95691,-93.29624
5330,NAMASTE CAFE,02/23/2017,2512 HENNEPIN AVE,LIC41091,180568,100,Follow-Up,44.95691,-93.29624
5332,NAMASTE CAFE,08/11/2018,2512 HENNEPIN AVE,LIC41091,237012,96,Routine,44.95691,-93.29624
5333,NAMASTE CAFE,02/16/2018,2512 HENNEPIN AVE,LIC41091,237013,96,Follow-Up,44.95691,-93.29624
5335,NAMASTE CAFE,08/16/2019,2512 HENNEPIN AVE,LIC41091,268860,96,Routine,44.95691,-93.29624
5340,KEEFER COURT FOOD,08/23/2017,326 CEDAR AVE S,LIC52063,61852,100,Routine,44.97054,-93.24758
5342,KEEFER COURT FOOD,09/19/2018,326 CEDAR AVE S,LIC52063,226950,100,Routine,44.97054,-93.24758
5344,KEEFER COURT FOOD,09/19/2019,326 CEDAR AVE S,LIC52063,272273,100,Routine,44.97054,-93.24758
5345,JAX CAFE,02/21/2017,1922 UNIVERSITY AVE NE,LIC48363,54355,86,Routine,45.00833,-93.26356
5358,JAX CAFE,02/21/2018,1922 UNIVERSITY AVE NE,LIC48363,191076,98,Routine,45.00833,-93.26356
5364,JAX CAFE,02/23/2017,1922 UNIVERSITY AVE NE,LIC48363,191101,94,Follow-Up,45.00833,-93.26356
5373,JAX CAFE,02/21/2019,1922 UNIVERSITY AVE NE,LIC48363,245167,90,Routine,45.00833,-93.26356
5378,BRYANT LAKE BOWL,01/08/2019,810 LAKE ST W,LIC373185,277718,94,Routine,44.94866,-93.29028
5385,BRYANT LAKE BOWL,02/12/2019,810 LAKE ST W,LIC373185,287154,98,Follow-Up,44.94866,-93.29028
5389,BRYANT LAKE BOWL,01/08/2020,810 LAKE ST W,LIC373185,287153,96,Routine,44.94866,-93.29028
5394,WAFFLE BAR,06/18/2018,2758 LYNDALE AVE S,LIC364152,246988,100,Routine,44.95217,-93.28849
5398,WAFFLE BAR,12/23/2019,2758 LYNDALE AVE S,LIC364152,254442,100,Routine,44.95217,-93.28849
5400,MOOSE AND SADIE'S COFFEE HOUSE,02/03/2017,212 3RD AVE N #107,LIC36988,34527,96,Routine,44.98532,-93.27222
5403,MOOSE AND SADIE'S COFFEE HOUSE,07/18/2018,212 3RD AVE N #107,LIC36988,254814,92,Routine,44.98532,-93.27222
5407,MOOSE AND SADIE'S COFFEE HOUSE,07/18/2019,212 3RD AVE N #107,LIC36988,255467,92,Routine,44.98532,-93.27222
5412,GUAVAS CUBAN CAFE,01/10/2019,5607 CHICAGO AVE,LIC373640,279127,92,Routine,44.90136,-93.26232
5421,GUAVAS CUBAN CAFE,02/08/2019,5607 CHICAGO AVE,LIC373640,287080,98,Follow-Up,44.90136,-93.26232
5424,MAY DAY CAFE,12/04/2017,3440 BLOOMINGTON AVE,LIC52249,124510,92,Routine,44.93987,-93.25283
5433,MAY DAY CAFE,01/24/2017,3440 BLOOMINGTON AVE,LIC52249,124511,92,Follow-Up,44.93987,-93.25283
5438,MAY DAY CAFE,11/28/2018,3440 BLOOMINGTON AVE,LIC52249,234685,100,Routine,44.93987,-93.25283
5441,MAY DAY CAFE,01/11/2018,3440 BLOOMINGTON AVE,LIC52249,234686,98,Follow-Up,44.93987,-93.25283
5445,MAY DAY CAFE,12/04/2019,3440 BLOOMINGTON AVE,LIC52249,280450,92,Routine,44.93987,-93.25283
5454,THE COVE,09/19/2017,1320 5TH ST SE,LIC30712,225140,86,Routine,44.98149,-93.23593
5462,THE COVE,09/19/2018,1320 5TH ST SE,LIC30712,227206,88,Routine,44.98149,-93.23593
5472,THE COVE,10/27/2017,1320 5TH ST SE,LIC30712,227207,96,Follow-Up,44.98149,-93.23593
5475,THE COVE,09/17/2019,1320 5TH ST SE,LIC30712,275175,88,Routine,44.98149,-93.23593
5494,THE COVE,11/08/2018,1320 5TH ST SE,LIC30712,275176,96,Follow-Up,44.98149,-93.23593
5497,THE COVE,11/05/2019,1320 5TH ST SE,LIC30712,330143,92,Follow-Up,44.98149,-93.23593
5508,THE LORING,06/14/2018,327 14TH AVE SE,LIC362656,237304,96,Routine,44.9804,-93.2362
5519,THE LORING,06/14/2019,327 14TH AVE SE,LIC362656,254021,90,Routine,44.9804,-93.2362
5533,THE LORING,08/07/2018,327 14TH AVE SE,LIC362656,254022,96,Follow-Up,44.9804,-93.2362
5536,THE LORING,08/01/2019,327 14TH AVE SE,LIC362656,314140,94,Follow-Up,44.9804,-93.2362
5545,THE SONDER SHAKER,03/14/2018,130 HENNEPIN AVE E,LIC359317,237175,98,Routine,44.98711,-93.25803
5549,THE SONDER SHAKER,04/18/2019,130 HENNEPIN AVE E,LIC359317,246047,84,Routine,44.98711,-93.25803
5558,THE SONDER SHAKER,06/04/2019,130 HENNEPIN AVE E,LIC359317,309140,94,Follow-Up,44.98711,-93.25803
5561,KHAO HOM THAI RESTAURANT,01/16/2018,2411 CENTRAL AVE NE,LIC361222,233249,100,Routine,45.01263,-93.24694
5562,KHAO HOM THAI RESTAURANT,01/16/2019,2411 CENTRAL AVE NE,LIC361222,242007,86,Routine,45.01263,-93.24694
5570,KHAO HOM THAI RESTAURANT,02/26/2019,2411 CENTRAL AVE NE,LIC361222,290667,100,Follow-Up,45.01263,-93.24694
5690,DAKOTA JAZZ CLUB & RESTAURANT,07/19/2017,1010 NICOLLET MALL,LIC47953,53615,80,Routine,44.97396,-93.27563
5700,DAKOTA JAZZ CLUB & RESTAURANT,07/25/2018,1010 NICOLLET MALL,LIC47953,208357,86,Routine,44.97396,-93.27563
5710,DAKOTA JAZZ CLUB & RESTAURANT,08/16/2017,1010 NICOLLET MALL,LIC47953,208358,96,Follow-Up,44.97396,-93.27563
5713,DAKOTA JAZZ CLUB & RESTAURANT,07/23/2019,1010 NICOLLET MALL,LIC47953,262463,88,Routine,44.97396,-93.27563
5721,DAKOTA JAZZ CLUB & RESTAURANT,09/06/2018,1010 NICOLLET MALL,LIC47953,262464,100,Follow-Up,44.97396,-93.27563
5723,DAKOTA JAZZ CLUB & RESTAURANT,08/19/2019,1010 NICOLLET MALL,LIC47953,318017,96,Follow-Up,44.97396,-93.27563
5727,REPUBLIC,04/10/2017,221 CEDAR AVE S,LIC45489,189623,72,Routine,44.97318,-93.24693
5750,REPUBLIC,04/23/2018,221 CEDAR AVE S,LIC45489,196261,82,Routine,44.97318,-93.24693
5765,REPUBLIC,05/25/2017,221 CEDAR AVE S,LIC45489,196262,96,Follow-Up,44.97318,-93.24693
5773,REPUBLIC,04/23/2019,221 CEDAR AVE S,LIC45489,248487,90,Routine,44.97318,-93.24693
5780,REPUBLIC,05/29/2018,221 CEDAR AVE S,LIC45489,248488,86,Follow-Up,44.97318,-93.24693
5789,REPUBLIC,07/16/2018,221 CEDAR AVE S,LIC45489,252249,88,Follow-Up,44.97318,-93.24693
5798,REPUBLIC,09/27/2018,221 CEDAR AVE S,LIC45489,254639,96,Follow-Up,44.97318,-93.24693
5802,MERLINS REST PUB,02/05/2018,3601 LAKE ST E,LIC25630,180623,100,Routine,44.94808,-93.22019
5804,MERLINS REST PUB,02/21/2017,3601 LAKE ST E,LIC25630,180624,96,Follow-Up,44.94808,-93.22019
5806,MERLINS REST PUB,02/27/2019,3601 LAKE ST E,LIC25630,242149,88,Routine,44.94808,-93.22019
5816,MERLINS REST PUB,04/24/2019,3601 LAKE ST E,LIC25630,302771,98,Follow-Up,44.94808,-93.22019
5819,CHRISTOS,08/08/2017,2632 NICOLLET AVE,LIC35684,31493,100,Routine,44.95446,-93.27833
5822,CHRISTOS,08/08/2018,2632 NICOLLET AVE,LIC35684,213919,86,Routine,44.95446,-93.27833
5833,CHRISTOS,08/08/2019,2632 NICOLLET AVE,LIC35684,263858,90,Routine,44.95446,-93.27833
5843,CHRISTOS,09/28/2018,2632 NICOLLET AVE,LIC35684,263859,100,Follow-Up,44.95446,-93.27833
5847,CHRISTOS,09/26/2019,2632 NICOLLET AVE,LIC35684,322914,98,Follow-Up,44.95446,-93.27833
5850,ZAKIA DELI,04/24/2017,451 STINSON PKWY #B,LIC30846,24116,98,Routine,44.99478,-93.22631
5853,ZAKIA DELI,04/02/2018,451 STINSON PKWY #B,LIC30846,197062,84,Routine,44.99478,-93.22631
5865,ZAKIA DELI,04/02/2019,451 STINSON PKWY #B,LIC30846,247364,98,Routine,44.99478,-93.22631
5867,ZAKIA DELI,05/16/2018,451 STINSON PKWY #B,LIC30846,247365,96,Follow-Up,44.99478,-93.22631
5870,URBAN EATERY,06/22/2017,2730 LAKE ST W #1ST FL,LIC46183,50462,70,Routine,44.94989,-93.31518
5890,URBAN EATERY,06/29/2018,2730 LAKE ST W #1ST FL,LIC46183,201971,90,Routine,44.94989,-93.31518
5897,URBAN EATERY,08/31/2017,2730 LAKE ST W #1ST FL,LIC46183,201972,86,Follow-Up,44.94989,-93.31518
5907,URBAN EATERY,10/27/2017,2730 LAKE ST W #1ST FL,LIC46183,224503,96,Follow-Up,44.94989,-93.31518
5911,URBAN EATERY,01/12/2018,2730 LAKE ST W #1ST FL,LIC46183,231652,96,Follow-Up,44.94989,-93.31518
5914,URBAN EATERY,02/23/2018,2730 LAKE ST W #1ST FL,LIC46183,240486,100,Follow-Up,44.94989,-93.31518
5917,URBAN EATERY,07/11/2019,2730 LAKE ST W #1ST FL,LIC46183,254651,100,Routine,44.94989,-93.31518
5923,URBAN EATERY,09/07/2018,2730 LAKE ST W #1ST FL,LIC46183,254652,96,Follow-Up,44.94989,-93.31518
5925,FIG + FARRO,03/29/2018,3001 HENNEPIN AVE,LIC360939,237242,84,Routine,44.94743,-93.29732
5949,FIG + FARRO,10/01/2019,3001 HENNEPIN AVE,LIC360939,247406,84,Routine,44.94743,-93.29732
5963,FIG + FARRO,05/22/2018,3001 HENNEPIN AVE,LIC360939,247407,84,Follow-Up,44.94743,-93.29732
